old,new
3H0AQ,TREXEC-001-Z5Y
782KR,TREXEC-002-UGM
7H450,TREXEC-003-B83
7WIY8,TREXEC-004-JDE
8W4S7,TREXEC-005-SI5
9SB6B,TREXEC-006-F8T
B32WN,TREXEC-007-HPB
BLMDC,TREXEC-008-7U2
BYSZU,TREXEC-009-OAA
G6GRR,TREXEC-010-OPK
H2RN4,TREXEC-011-KD8
HNAPY,TREXEC-012-AHV
IZPVM,TREXEC-013-1FP
JXKST,TREXEC-014-Y3T
K7EWS,TREXEC-015-E3L
LIVQ7,TREXEC-016-XI7
MU7SD,TREXEC-017-0SN
MY96H,TREXEC-018-KRP
PJSWO,TREXEC-019-FK8
RYN67,TREXEC-020-QZF
SJYBT,TREXEC-021-ST6
SN8N5,TREXEC-022-SLR
U1982,TREXEC-023-48T
VA4UK,TREXEC-024-LX3
XCY7F,TREXEC-025-3P6
