old,new
B32WN,TREXEC-001-Z5Y
BLMDC,TREXEC-002-UGM
BYSZU,TREXEC-003-B83
G6GRR,TREXEC-004-JDE
H2RN4,TREXEC-005-SI5
HNAPY,TREXEC-006-F8T
IZPVM,TREXEC-007-HPB
JXKST,TREXEC-008-7U2
K7EWS,TREXEC-009-OAA
LIVQ7,TREXEC-010-OPK
MU7SD,TREXEC-011-KD8
MY96H,TREXEC-012-AHV
PJSWO,TREXEC-013-1FP
RYN67,TREXEC-014-Y3T
SJYBT,TREXEC-015-E3L
SN8N5,TREXEC-016-XI7
U1982,TREXEC-017-0SN
VA4UK,TREXEC-018-KRP
XCY7F,TREXEC-019-FK8
speaker2025,TREXEC-020-QZF
Stanislav,TREXEC-021-ST6
Med,TREXEC-022-SLR
C57JO,TREXEC-023-48T
Jungle,TREXEC-024-LX3
partner-SGA,TREXEC-025-3P6
