old,new,status,message
compec,TREXEC-001-Z5Y,ok,
a-hub,TREXEC-002-UGM,ok,
gamfed,TREXEC-003-B83,ok,
crazylabs,TREXEC-004-JDE,ok,
arabic.games,TREXEC-005-SI5,ok,
community-arabic.games,TREXEC-006-F8T,ok,
community-gamelab,TREXEC-007-HPB,ok,
unleashd,TREXEC-008-7U2,ok,
community-bug,TREXEC-009-OAA,ok,
bug,TREXEC-010-OPK,ok,
community-mmr,TREXEC-011-KD8,ok,
mmr,TREXEC-012-AHV,ok,
gamepons,TREXEC-013-1FP,ok,
kodluyoruz,TREXEC-014-Y3T,ok,
devtodev,TREXEC-015-E3L,ok,
inmobi,TREXEC-016-XI7,ok,
madrooster,TREXEC-017-0SN,ok,
tenjin,TREXEC-018-KRP,ok,
bavucan,TREXEC-019-FK8,ok,
community-gdbay,TREXEC-020-QZF,ok,
community-gamepons,TREXEC-021-ST6,ok,
community-unog,TREXEC-022-SLR,ok,
community-atom,TREXEC-023-48T,ok,
community-toged,TREXEC-024-LX3,ok,
jeff,TREXEC-025-3P6,ok,
