
name,title,bio
Görkem Türk,Founding Partner at Laton Ventures,"Görkem Türk is the founding partner of Laton entures, the largest gaming- and apps-focused venture capital fund in Turkiye. Launched in February 2025, Laton closed its inaugural $50 illion fund to support pre-seed and seed-stage gaming startups globally, with a strong emphasis on founders in Turkiye, the US, and Europe.  Prior to founding Laton, Görkem spent six years as Industry Manager for Gaming, Apps & Startups at Google in Istanbul, where he led growth partnerships and ecosystem development in the gaming sector.  Under Görkem’s leadership, Laton has invested in five early-stage companies within its first year—two of which have since secured Series funding, including Grand ames which raised $30 illion in under nine months  Laton has also quickly risen to rank among the global top 10 most active early-stage gaming VCs. Volkan Biçer"
Volkan Biçer,Partner at Ludus Ventures,"Volkan içer is a Partner at Ludus entures, a VC firm focused on gaming, game‑tech, and related categories. Since its establishment in Luxembourg (2021) and expansion to Türkiye as a Turkish VCIF in early 2024, Ludus manages over 60 illion across two funds, with 15 portfolio companies and $200 illion+ in exits.  Over a career spanning more than 15 years, Volkan has been at the forefront of gaming entrepreneurship and investment. He was an early backer of Rollic ames, which was acquired by Zynga. Enis Hulli"
Enis Hulli,General Partner at e2vc,"Enis Hulli is a General Partner at e2vc, previously known as 500 Emerging Europe, where he invests in pre‑seed and seed-stage technology companies across Emerging Europe and Türkiye. e2vc manages 60+ portfolio companies, including three unicorns, which have collectively raised over $2 illion to date.  Under his leadership, e2vc has backed 39 early-stage teams with its Fund II since mid‑2021; 20 have raised $5 illion+, 5 have secured $15 illion+, and 1 reached $50 illion+. Across all funds, his portfolio companies have generated over $225 illion in follow-on funding. İmet Gökºen  General Partner at Ludus Ventures  İmet ökºen is a General Partner at Ludus entures, an early-stage gaming-focused VC based in Turkiye. With a background spanning leadership roles at AdColony and Pfizer, he brings deep expertise in digital marketing, business intelligence, and multi-channel growth to Ludus, where he leads investments in promising mobile gaming and game-tech startups.  Since joining Ludus in 2020, İmet has spearheaded several high-profile seed investments—most recently Playable actory and Spektra ames—helping shape Turkiye’s gaming ecosystem. Hussam Hammo"
Hussam Hammo,Founder & CEO at Tamatem Games,"Hussam Hammo is the founder and CEO of Tamatem Games, a Jordanian company that localises and publishes mobile games for Arabic-speaking gamers. Established in 2013, Tamatem has released over 50 titles, reached more than 150 illion downloads, and secured $2.5 illion in Series  funding from global investors such as 500 Startups and Raed Ventures, followed by an $11 illion Series  round led by Krafton nc. (creators of PUBG)  Under Hussam’s leadership, Tamatem grew rapidly, achieving a 105% annual revenue increase as of 2017, garnering over 38 illion downloads, and gaining recognition from Apple as Best Game of the Year in Saudi Arabia, Egypt, and the UAE Ada MockutėJaime"
Ada MockutėJaime,Chief Marketing Officer at Nordcurrent,"Ada Mockutė aime currently serves as the Chief Marketing Officer at Nordcurrent, the largest Baltic video game development and publishing studio, known for global hits like Cooking ever (400 illion+ downloads) and Airplane Chefs. She took on the role in September 2024 and brings over a decade of experience in brand development, digital marketing, and customer intelligence. Serkan Ünsal  Founder at Startups.watch  Serkan Ünsal is the founder and CEO of startups.watch, a leading platform tracking Turkiye’s startup ecosystem.  Over the past decade, Serkan has emerged as a key voice in Türkiye’s startup and gaming sectors. He publishes annual “Turkish Startup Ecosystem Year‑in‑Review” reports—his 2024 edition reveals $1.1 illion invested over 469 deals, a 44% increase in deal size and 31% year‑over‑year growth. He also releases periodic Gaming Snapshot for Türkiye, providing vital market insights in partnership with H2O Investment Gabriele Aimone"
Gabriele Aimone,CEO & Leadership Consultant at Playnest,"Gabriele Aimone brings over 14 years of leadership experience across Supercell and Neon oi, where he helped grow global teams and refine workplace cultures. Since December 2024, he has served as CEO of Playnest—the Helsinki-based next-generation platform and publishing ecosystem for hybrid casual games, built by game industry veterans with a passion for making game discovery, development, and publishing smarter and more seamless. Halil İrahim Özdemir"
Halil İbrahim Özdemir,Managing Director & Founder at Leus,"Halil İrahim Özdemir is the Founder and Managing Director of Leus Capital, a financial platform that provides mobile game and app studios with fast, collateral-free funding. Leus helps studios scale without giving up equity, offering capital through products like KatAppult and ReLoad, based on performance metrics such as ROAS and LTV.  Halil focuses on making the funding process faster and more accessible for developers, aiming to support sustainable growth across the mobile ecosystem. Sashank Vandrangi"
Sashank Vandrangi,Co-founder at Gameramp,"Sashank Vandrangi is the co-founder of GameRamp, an AI-driven publishing platform designed to help mobile game developers optimize monetization and scale their games faster. GameRamp, headquartered in San Francisco with an R&D hub in Bengaluru, provides small and mid-size studios with tools that automate in-game monetization and user acquisition using reinforcement learning and other AI techniques. Under Sashank’s leadership, GameRamp recently raised $5.4 million in a funding round led by BITKRAFT Ventures to launch its core products.  These products include AI-powered systems to personalize in-game economies in real time and an embedded financing solution to help developers fund user growth. Sashank’s vision is to empower game creators to succeed without needing large publishing teams, by offering an “AI-native” publishing stack that handles many of the complex tasks of scaling a game in today’s competitive market. Baºak Zerman"
Baºak Zerman,Head Of Sales at Adjust,"Baºak Zerman is the Regional Sales Lead for Turkey, the Middle East, and Africa at Adjust, a leading mobile marketing analytics company. She is a data-driven sales strategist with nearly a decade of experience in mobile advertising, attribution, and data analytics. Prior to her current role, Baºak built her expertise working in digital ad sales and business development for companies like Yandex and App Samurai, where she helped clients optimize mobile campaigns.  In her role at Adjust, she advises game studios and app developers on how to track user acquisition, measure retention, and maximize ROI using Adjust’s platform. Baºak’s blend of technical knowledge and business acumen enables her to guide partners in making smarter, data-informed marketing decisions in the mobile games space. Cvetan Rusimov"
Cvetan Rusimov,CÅÎ at Imperia Online,"Cvetan Rusimov is the CEO of Imperia Online JSC, a game development company based in Sofia, Bulgaria. He has been part of the company since 2008 and became CEO in 2023. Under his leadership, the studio continues to operate a portfolio of strategy games, including the long-running title Imperia Online, with millions of users across multiple platforms.  He also oversees the studio’s role within the Stillfront Group and manages publishing and localization efforts across global markets. Cvetan frequently participates in industry events and contributes to discussions on international publishing and game operations. Özgür Karayalçı"
