old,new
0RQEP,TRPRO-001-L30
0YQMG,TRPRO-002-FNN
16HQW,TRPRO-003-2GA
1CQLE,TRPRO-004-XG7
2Z9SS,TRPRO-005-OEI
3BWPT,TRPRO-006-WVV
3G24M,TRPRO-007-IC6
3IEF7,TRPRO-008-023
49IK2,TRPRO-009-HF1
4E105,TRPRO-010-UIC
4LJN1,TRPRO-011-L0C
4QLZ9,TRPRO-012-YKU
4TLUA,TRPRO-013-5NE
4ZPSV,TRPRO-014-BUT
542Q5,TRPRO-015-B9U
64HTA,TRPRO-016-UMT
6OA1K,TRPRO-017-1FO
6VYFO,TRPRO-018-QQ0
6W3EK,TRPRO-019-7A8
7SWCH,TRPRO-020-2J5
8P8AH,TRPRO-021-FQA
8QXJL,TRPRO-022-R5A
92E83,TRPRO-023-INV
94CO5,TRPRO-024-IGT
9P3UF,TRPRO-025-FUR
9R84B,TRPRO-026-3ZU
9T0YD,TRPRO-027-A2L
9ZFAH,TRPRO-028-6NY
AH0IQ,TRPRO-029-XRN
AR6UT,TRPRO-030-U9F
ARWP4,TRPRO-031-WD4
ATORY,TRPRO-032-ZMH
AVQN1,TRPRO-033-UUW
BD2X8,TRPRO-034-C3P
C60UQ,TRPRO-035-0OV
C9SY3,TRPRO-036-QR3
D0AZZ,TRPRO-037-72G
D65XF,TRPRO-038-EJ3
DICGS,TRPRO-039-FNK
DVI9A,TRPRO-040-LDG
EGDJE,TRPRO-041-D96
EH5R4,TRPRO-042-KJQ
EQ09N,TRPRO-043-Y8Z
FEA18,TRPRO-044-QZS
G92BX,TRPRO-045-RRU
GLDAM,TRPRO-046-BXU
GU42M,TRPRO-047-LAR
GZ83Z,TRPRO-048-1ZK
ID5E3,TRPRO-049-2KO
IFSFL,TRPRO-050-SMM
IULUU,TRPRO-051-7PS
JA217,TRPRO-052-UYD
JIXYS,TRPRO-053-1RN
JODS5,TRPRO-054-65K
JSX5X,TRPRO-055-IQT
KFBH9,TRPRO-056-WYO
KNIUH,TRPRO-057-Y25
KQ0WJ,TRPRO-058-PUH
LVP3K,TRPRO-059-NAL
MEVLL,TRPRO-060-UC2
MW3IG,TRPRO-061-54D
NAT8L,TRPRO-062-EDL
OHOZA,TRPRO-063-MBR
OU35G,TRPRO-064-M95
P3T0P,TRPRO-065-OT3
Q1PF2,TRPRO-066-MO0
QS2I3,TRPRO-067-94Y
QZCHM,TRPRO-068-2F8
R4OL9,TRPRO-069-THB
RHF31,TRPRO-070-FFZ
RNW4D,TRPRO-071-BFZ
ROUHG,TRPRO-072-O5I
S8MIQ,TRPRO-073-B2F
SEAZZ,TRPRO-074-O14
TBTBZ,TRPRO-075-7P2
TKEM8,TRPRO-076-OUO
TQ549,TRPRO-077-DEE
TUA5T,TRPRO-078-GOK
TUMS5,TRPRO-079-708
TY6JH,TRPRO-080-POQ
ULZPX,TRPRO-081-OFA
V2H8X,TRPRO-082-2Z1
VA9E1,TRPRO-083-KV3
VAW53,TRPRO-084-5SR
VDWLB,TRPRO-085-0WC
VTPA3,TRPRO-086-W95
VV8OX,TRPRO-087-7VQ
W42PC,TRPRO-088-QZ9
W8EF6,TRPRO-089-ZT4
WW573,TRPRO-090-Y11
XEROT,TRPRO-091-UQ7
XJXDD,TRPRO-092-JFP
XR257,TRPRO-093-BZ0
YAH3I,TRPRO-094-X29
YEL39,TRPRO-095-TA0
YW60G,TRPRO-096-J2D
Z83EI,TRPRO-097-Y30
ZLHRN,TRPRO-098-2SJ
ZRC0V,TRPRO-099-K79
ZYN9B,TRPRO-100-H2I
