old,new,status,message
B32WN,TREXEC-001-Z5Y,ok,
BLMDC,TREXEC-002-UGM,ok,
BYSZU,TREXEC-003-B83,ok,
G6GRR,TREXEC-004-JDE,ok,
H2RN4,TREXEC-005-SI5,ok,
HNAPY,TREXEC-006-F8T,ok,
IZPVM,TREXEC-007-HPB,ok,
JXKST,TREXEC-008-7U2,ok,
K7EWS,TREXEC-009-OAA,ok,
LIVQ7,TREXEC-010-OPK,ok,
MU7SD,TREXEC-011-KD8,ok,
MY96H,TREXEC-012-AHV,ok,
PJSWO,TREXEC-013-1FP,ok,
RYN67,TREXEC-014-Y3T,ok,
SJYBT,TREXEC-015-E3L,ok,
SN8N5,TREXEC-016-XI7,ok,
U1982,TREXEC-017-0SN,ok,
VA4UK,TREXEC-018-KRP,ok,
XCY7F,TREXEC-019-FK8,ok,
speaker2025,TREXEC-020-QZF,ok,
Stanislav,TREXEC-021-ST6,ok,
Med,TREXEC-022-SLR,ok,
C57JO,TREXEC-023-48T,ok,
Jungle,TREXEC-024-LX3,ok,
partner-SGA,TREXEC-025-3P6,ok,
